No,Longitude,Lattitude,N,P,K,Ca,Mg,Fe,Mn,Cu,Zn,B,b12,b11,b9,b8a,b8,b7,b6,b5,b4,b3,b2,b1,Sigma_VV,Sigma_VH,plia,lia,iafe,gamma0_vv,gamma0_vh,beta0_vv,beta0_vh
1,103.036658,-0.604417,2.64,0.15,0.415,0.51,0.31,119.96,463.23,5.6,16.69,26.58,0.1013,0.1922,0.4753,0.3354,0.293,0.3066,0.0897,0.2467,0.0432,0.0548,0.0337,0.0433,0.18183,0.04461,35.74446,35.79744,35.41161,0.22331,0.05479,0.31325,0.07686
2,103.037201,-0.604689,2.75,0.17,0.568,0.76,0.58,102.63,493.81,0.65,14.47,13.6,0.1057,0.1941,0.4811,0.3208,0.2828,0.2953,0.0939,0.2385,0.0626,0.0677,0.0445,0.0465,0.22079,0.0464,35.12096,35.14591,35.4151,0.27116,0.05699,0.38033,0.07993
3,103.036359,-0.603012,1.77,0.12,0.339,0.49,0.6,107.37,460.93,2.82,14.75,29.31,0.0836,0.175,0.4981,0.3655,0.3166,0.3346,0.0866,0.2599,0.0444,0.0622,0.0403,0.0417,0.18926,0.03992,35.07724,35.0773,35.41135,0.23242,0.04902,0.32604,0.06876
4,103.03695,-0.603219,2.3,0.15,0.46,0.74,0.67,96.02,338.17,2.53,15.32,20.24,0.0818,0.174,0.4603,0.3671,0.3256,0.3386,0.0883,0.2656,0.0406,0.0594,0.0373,0.0367,0.14769,0.03622,36.08078,36.08469,35.41583,0.18138,0.04448,0.2544,0.06238
5,103.036802,-0.601969,2.05,0.14,0.308,0.64,0.72,87.01,384.33,1.51,15.82,27.59,0.0725,0.1598,0.4655,0.36,0.2918,0.3324,0.0882,0.2625,0.0364,0.0559,0.0336,0.0361,0.18205,0.03797,32.68855,32.69293,35.41592,0.22359,0.04664,0.31359,0.06541
6,103.03745,-0.60226,2.2,0.14,0.343,0.66,0.95,107.87,480.73,1.96,13.38,22.73,0.0792,0.1712,0.4583,0.3685,0.3414,0.3367,0.0941,0.2754,0.0401,0.0636,0.0399,0.0377,0.1687,0.03336,36.94629,36.94634,35.41998,0.2072,0.04097,0.29056,0.05746
7,103.037255,-0.600535,1.95,0.11,0.37,1.11,0.76,109.97,746.53,2.91,20.93,26.2,0.0819,0.1761,0.4895,0.3799,0.3514,0.3523,0.0961,0.2846,0.0415,0.0658,0.0361,0.0367,0.16733,0.03814,35.17442,35.17442,35.42105,0.20552,0.04684,0.2882,0.06569
8,103.037786,-0.600733,2.35,0.15,0.374,0.75,0.73,117.88,473.47,1.52,8.46,30.68,0.0914,0.1836,0.5072,0.3632,0.3256,0.3271,0.0974,0.266,0.0444,0.063,0.0375,0.0371,0.2713,0.04247,36.42197,36.42941,35.42513,0.33324,0.05217,0.46723,0.07315
9,103.042937,-0.6023,2.34,0.15,0.57,0.86,0.59,130.58,671.26,1.51,11.24,18.14,0.091,0.1756,0.4951,0.3399,0.2974,0.3066,0.0903,0.2443,0.043,0.0587,0.0379,0.0451,0.17696,0.04297,35.12776,35.12848,35.45906,0.21745,0.0528,0.30451,0.07394
10,103.042407,-0.602293,2.72,0.16,0.479,0.23,0.5,105.09,725.69,0.65,11.28,28.9,0.0857,0.1733,0.5011,0.3601,0.3198,0.3301,0.0948,0.272,0.0448,0.063,0.0362,0.0443,0.17211,0.04412,35.95984,35.9911,35.45525,0.21148,0.05422,0.29619,0.07593
